Category,Subcategory 1,Subcategory 2,Item,Description,Brand,Image,Indications,Clinical Actions,Workflow Actions,
Dermatology,Burn Garment,,"Compression burn garment, bodysuit (head to foot)","Compression burn garment, bodysuit (head to foot)",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,
Dermatology,Burn Garment,,"Compression burn garment, chin strap,","Compression burn garment, chin strap,",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,
Dermatology,Burn Garment,,"Compression burn garment, glove to wrist","Compression burn garment, glove to wrist",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,
Dermatology,Burn Garment,,"Compression burn garment, glove to elbow","Compression burn garment, glove to elbow",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,
Dermatology,Burn Garment,,"Compression burn garment, glove to axilla","Compression burn garment, glove to axilla",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,
Dermatology,Burn Garment,,"Compression burn garment, foot to knee length","Compression burn garment, foot to knee length",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,[Provide support and protection from contamination due to a burn injury] & [The patient is at risk for a post-burn contracture in the affected area where the garment will be applied] & [The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting]
Dermatology,Burn Garment,,"Compression burn garment, foot to thigh length","Compression burn garment, foot to thigh length",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,[Provide support and protection from contamination due to a burn injury] & [The patient is at risk for a post-burn contracture in the affected area where the garment will be applied] & [The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting]
Dermatology,Burn Garment,,"Compression burn garment, upper trunk to waist including arm openings (vest)","Compression burn garment, upper trunk to waist including arm openings (vest)",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,[Provide support and protection from contamination due to a burn injury] & [The patient is at risk for a post-burn contracture in the affected area where the garment will be applied] & [The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting]
Dermatology,Burn Garment,,"Compression burn garment, trunk, including arms down to leg openings (leotard)","Compression burn garment, trunk, including arms down to leg openings (leotard)",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,[Provide support and protection from contamination due to a burn injury] & [The patient is at risk for a post-burn contracture in the affected area where the garment will be applied] & [The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting]
Dermatology,Burn Garment,,"Compression burn garment, not otherwise classified","Compression burn garment, not otherwise classified",Varies,,"1. Provide support and protection from contamination due to a burn injury
2. The patient is at risk for a post-burn contracture in the affected area where the garment will be applied
3. The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting",,,[Provide support and protection from contamination due to a burn injury] & [The patient is at risk for a post-burn contracture in the affected area where the garment will be applied] & [The patient is receiving physical or occupational therapy to prevent contractures or the need for skin grafting]
